"","stim_img","stim_word","condition","shape_association","response","rt"
"1","img/Cir.png","坏人","match","坏人",0,"null"
"2","img/Cir.png","好人","mismatch","坏人",0,"null"
"3","img/Cir.png","常人","mismatch","坏人",0,"null"
"4","img/Squ.png","常人","match","常人",0,"null"
"5","img/Tri.png","好人","match","好人",0,"null"
"6","img/Squ.png","坏人","mismatch","常人",0,"null"
"7","img/Tri.png","坏人","mismatch","好人",0,"null"
"8","img/Tri.png","常人","mismatch","好人",0,"null"
"9","img/Squ.png","常人","match","常人",0,"null"
"10","img/Squ.png","好人","mismatch","常人",0,"null"
"11","img/Cir.png","坏人","match","坏人",0,"null"
"12","img/Tri.png","好人","match","好人",0,"null"
"13","img/Cir.png","常人","mismatch","坏人",0,"null"
"14","img/Cir.png","好人","mismatch","坏人",0,"null"
"15","img/Tri.png","好人","match","好人",0,"null"
"16","img/Tri.png","常人","mismatch","好人",0,"null"
"17","img/Squ.png","好人","mismatch","常人",0,"null"
"18","img/Squ.png","常人","match","常人",0,"null"
"19","img/Squ.png","常人","match","常人",0,"null"
"20","img/Tri.png","好人","match","好人",0,"null"
"21","img/Squ.png","坏人","mismatch","常人",0,"null"
"22","img/Cir.png","坏人","match","坏人",0,"null"
"23","img/Tri.png","坏人","mismatch","好人",0,"null"
"24","img/Cir.png","坏人","match","坏人",0,"null"
"25","img/Squ.png","常人","match","常人",0,"null"
"26","img/Cir.png","坏人","match","坏人",0,"null"
"27","img/Squ.png","好人","mismatch","常人",0,"null"
"28","img/Tri.png","好人","match","好人",0,"null"
"29","img/Cir.png","坏人","match","坏人",0,"null"
"30","img/Squ.png","常人","match","常人",0,"null"
"31","img/Squ.png","坏人","mismatch","常人",0,"null"
"32","img/Cir.png","常人","mismatch","坏人",0,"null"
"33","img/Tri.png","常人","mismatch","好人",0,"null"
"34","img/Cir.png","好人","mismatch","坏人",0,"null"
"35","img/Tri.png","好人","match","好人",0,"null"
"36","img/Tri.png","坏人","mismatch","好人",0,"null"
"37","img/Tri.png","好人","match","好人",0,"null"
"38","img/Squ.png","坏人","mismatch","常人",0,"null"
"39","img/Tri.png","好人","match","好人",0,"null"
"40","img/Squ.png","常人","match","常人",0,"null"
"41","img/Cir.png","坏人","match","坏人",0,"null"
"42","img/Squ.png","好人","mismatch","常人",0,"null"
"43","img/Cir.png","坏人","match","坏人",0,"null"
"44","img/Tri.png","坏人","mismatch","好人",0,"null"
"45","img/Tri.png","常人","mismatch","好人",0,"null"
"46","img/Cir.png","好人","mismatch","坏人",0,"null"
"47","img/Cir.png","常人","mismatch","坏人",0,"null"
"48","img/Squ.png","常人","match","常人",0,"null"
"49","img/Squ.png","常人","match","常人",0,"null"
"50","img/Tri.png","好人","match","好人",0,"null"
"51","img/Cir.png","坏人","match","坏人",0,"null"
"52","img/Squ.png","好人","mismatch","常人",0,"null"
"53","img/Cir.png","坏人","match","坏人",0,"null"
"54","img/Tri.png","常人","mismatch","好人",0,"null"
"55","img/Tri.png","坏人","mismatch","好人",0,"null"
"56","img/Squ.png","坏人","mismatch","常人",0,"null"
"57","img/Cir.png","常人","mismatch","坏人",0,"null"
"58","img/Tri.png","好人","match","好人",0,"null"
"59","img/Cir.png","好人","mismatch","坏人",0,"null"
"60","img/Squ.png","常人","match","常人",0,"null"
"61","img/Squ.png","常人","match","常人",0,"null"
"62","img/Tri.png","常人","mismatch","好人",0,"null"
"63","img/Cir.png","坏人","match","坏人",0,"null"
"64","img/Tri.png","坏人","mismatch","好人",0,"null"
"65","img/Cir.png","好人","mismatch","坏人",0,"null"
"66","img/Tri.png","好人","match","好人",0,"null"
"67","img/Tri.png","好人","match","好人",0,"null"
"68","img/Squ.png","坏人","mismatch","常人",0,"null"
"69","img/Cir.png","常人","mismatch","坏人",0,"null"
"70","img/Squ.png","常人","match","常人",0,"null"
"71","img/Squ.png","好人","mismatch","常人",0,"null"
"72","img/Cir.png","坏人","match","坏人",0,"null"
