"subjectIndex","subjectSex","subjectBirth","subjectEdu","time_stamp","subjectStiGroup","block_id","block_type","trial_id","trial_type_num","label_en","shape_en","Vali","match","correctRp","response","rt","acc"
"v010001",1,"1995","硕士",1613891719686,2,0,"prac",1,1,"ordinary","circular","bad","mismatch","m","NA","null","0"
"v010001",1,"1995","硕士",1613891722206,2,0,"prac",2,1,"bad","square","good","mismatch","m","NA","null","0"
"v010001",1,"1995","硕士",1613891724715,2,0,"prac",3,1,"bad","circular","bad","match","n","n","757.499999999709","1"
"v010001",1,"1995","硕士",1613891726781,2,0,"prac",4,1,"good","square","good","match","n","n","1065.8999999996158","1"
"v010001",1,"1995","硕士",1613891729154,2,0,"prac",5,1,"good","square","good","match","n","n","649.6000000006752","1"
"v010001",1,"1995","硕士",1613891731111,2,0,"prac",6,1,"good","circular","bad","mismatch","m","m","920.0000000001164","1"
"v010001",1,"1995","硕士",1613891733344,2,0,"prac",7,1,"bad","circular","bad","match","n","n","896.7000000011176","1"
"v010001",1,"1995","硕士",1613891735553,2,0,"prac",8,1,"ordinary","square","good","mismatch","m","n","930.3999999992666","0"
"v010001",1,"1995","硕士",1613891737789,2,0,"prac",9,1,"good","triangle","ordinary","mismatch","m","m","1007.6000000008498","1"
"v010001",1,"1995","硕士",1613891740109,2,0,"prac",10,1,"ordinary","triangle","ordinary","match","n","m","880.3000000006869","0"
"v010001",1,"1995","硕士",1613891742301,2,0,"prac",11,1,"bad","triangle","ordinary","mismatch","m","m","1061.4999999997672","1"
"v010001",1,"1995","硕士",1613891744669,2,0,"prac",12,1,"ordinary","triangle","ordinary","match","n","NA","null","0"
"v010001",1,"1995","硕士",1613891784043,2,1,"prac",1,2,"ordinary","circular","bad","mismatch","m","n","704.4999999998836","0"
"v010001",1,"1995","硕士",1613891786055,2,1,"prac",2,2,"good","circular","bad","mismatch","m","m","923.1999999992549","1"
"v010001",1,"1995","硕士",1613891788285,2,1,"prac",3,2,"good","triangle","ordinary","mismatch","m","m","1012.6999999993131","1"
"v010001",1,"1995","硕士",1613891790607,2,1,"prac",4,2,"bad","square","good","mismatch","m","n","669.3000000013853","0"
"v010001",1,"1995","硕士",1613891792582,2,1,"prac",5,2,"good","square","good","match","n","n","824.6999999991967","1"
"v010001",1,"1995","硕士",1613891794716,2,1,"prac",6,2,"bad","circular","bad","match","n","n","677.2000000000698","1"
"v010001",1,"1995","硕士",1613891796705,2,1,"prac",7,2,"ordinary","triangle","ordinary","match","n","n","593.8999999998487","1"
"v010001",1,"1995","硕士",1613891798608,2,1,"prac",8,2,"ordinary","triangle","ordinary","match","n","n","717.6999999992549","1"
"v010001",1,"1995","硕士",1613891800634,2,1,"prac",9,2,"ordinary","square","good","mismatch","m","m","601.3000000002794","1"
"v010001",1,"1995","硕士",1613891802541,2,1,"prac",10,2,"bad","circular","bad","match","n","n","814.2999999999884","1"
"v010001",1,"1995","硕士",1613891804662,2,1,"prac",11,2,"bad","triangle","ordinary","mismatch","m","m","682.2000000011176","1"
"v010001",1,"1995","硕士",1613891806653,2,1,"prac",12,2,"good","square","good","match","n","n","661.4000000008382","1"
"v010001",1,"1995","硕士",1613891815812,2,1,"test",1,1,"good","circular","bad","mismatch","m","n","755.0000000009895","0"
"v010001",1,"1995","硕士",1613891817876,2,1,"test",2,1,"bad","circular","bad","match","n","n","797.0000000004657","1"
"v010001",1,"1995","硕士",1613891819981,2,1,"test",3,1,"bad","circular","bad","match","n","n","641.4000000004307","1"
"v010001",1,"1995","硕士",1613891821930,2,1,"test",4,1,"bad","square","good","mismatch","m","m","812.7999999996973","1"
"v010001",1,"1995","硕士",1613891824050,2,1,"test",5,1,"good","square","good","match","n","n","747.0000000012224","1"
"v010001",1,"1995","硕士",1613891826105,2,1,"test",6,1,"ordinary","triangle","ordinary","match","n","m","746.9000000001397","0"
"v010001",1,"1995","硕士",1613891828159,2,1,"test",7,1,"ordinary","triangle","ordinary","match","n","n","433.30000000062864","1"
"v010001",1,"1995","硕士",1613891829902,2,1,"test",8,1,"good","square","good","match","n","n","781.1999999994296","1"
"v010001",1,"1995","硕士",1613891831996,2,1,"test",9,1,"good","triangle","ordinary","mismatch","m","n","403.400000001071","0"
"v010001",1,"1995","硕士",1613891833706,2,1,"test",10,1,"bad","triangle","ordinary","mismatch","m","m","1017.2000000002445","1"
"v010001",1,"1995","硕士",1613891836028,2,1,"test",11,1,"ordinary","square","good","mismatch","m","n","770.700000000943","0"
"v010001",1,"1995","硕士",1613891838109,2,1,"test",12,1,"ordinary","circular","bad","mismatch","m","m","748.7000000000698","1"
"v010001",1,"1995","硕士",1613891840165,2,1,"test",1,2,"good","square","good","match","n","n","809.4999999994179","1"
"v010001",1,"1995","硕士",1613891842282,2,1,"test",2,2,"bad","triangle","ordinary","mismatch","m","n","793.4999999997672","0"
"v010001",1,"1995","硕士",1613891844383,2,1,"test",3,2,"bad","circular","bad","match","n","n","662.999999998603","1"
"v010001",1,"1995","硕士",1613891846353,2,1,"test",4,2,"good","square","good","match","n","n","829.2000000001281","1"
"v010001",1,"1995","硕士",1613891848488,2,1,"test",5,2,"good","triangle","ordinary","mismatch","m","m","744.8000000003958","1"
"v010001",1,"1995","硕士",1613891850539,2,1,"test",6,2,"bad","circular","bad","match","n","n","616.5000000001164","1"
"v010001",1,"1995","硕士",1613891852469,2,1,"test",7,2,"ordinary","triangle","ordinary","match","n","n","690.0999999998021","1"
"v010001",1,"1995","硕士",1613891854466,2,1,"test",8,2,"ordinary","triangle","ordinary","match","n","n","487.9000000000815","1"
"v010001",1,"1995","硕士",1613891856261,2,1,"test",9,2,"good","circular","bad","mismatch","m","n","718.3999999997905","0"
"v010001",1,"1995","硕士",1613891858286,2,1,"test",10,2,"ordinary","circular","bad","mismatch","m","m","795.2000000004773","1"
"v010001",1,"1995","硕士",1613891860388,2,1,"test",11,2,"ordinary","square","good","mismatch","m","n","698.6999999990221","0"
"v010001",1,"1995","硕士",1613891862398,2,1,"test",12,2,"bad","square","good","mismatch","m","m","694.500000001397","1"
"v010001",1,"1995","硕士",1613891864400,2,1,"test",1,3,"good","square","good","match","n","n","674.600000000326","1"
"v010001",1,"1995","硕士",1613891866382,2,1,"test",2,3,"bad","circular","bad","match","n","m","583.9999999989523","0"
"v010001",1,"1995","硕士",1613891868274,2,1,"test",3,3,"ordinary","square","good","mismatch","m","n","431.5000000005821","0"
"v010001",1,"1995","硕士",1613891870012,2,1,"test",4,3,"bad","triangle","ordinary","mismatch","m","m","711.3999999983353","1"
"v010001",1,"1995","硕士",1613891872030,2,1,"test",5,3,"ordinary","circular","bad","mismatch","m","n","584.2999999985914","0"
"v010001",1,"1995","硕士",1613891873927,2,1,"test",6,3,"good","square","good","match","n","m","627.0000000004075","0"
"v010001",1,"1995","硕士",1613891875859,2,1,"test",7,3,"good","triangle","ordinary","mismatch","m","m","863.1999999997788","1"
"v010001",1,"1995","硕士",1613891878027,2,1,"test",8,3,"ordinary","triangle","ordinary","match","n","n","827.9000000002561","1"
"v010001",1,"1995","硕士",1613891880162,2,1,"test",9,3,"bad","circular","bad","match","n","m","865.6000000009662","0"
"v010001",1,"1995","硕士",1613891882335,2,1,"test",10,3,"ordinary","triangle","ordinary","match","n","m","979.3000000009197","0"
"v010001",1,"1995","硕士",1613891884621,2,1,"test",11,3,"good","circular","bad","mismatch","m","m","831.8999999992084","1"
"v010001",1,"1995","硕士",1613891886760,2,1,"test",12,3,"bad","square","good","mismatch","m","n","1062.5","0"
"v010001",1,"1995","硕士",1613891889132,2,1,"test",1,4,"bad","circular","bad","match","n","n","1182.4999999990105","1"
"v010001",1,"1995","硕士",1613891891623,2,1,"test",2,4,"good","circular","bad","mismatch","m","m","751.8999999992666","1"
"v010001",1,"1995","硕士",1613891893685,2,1,"test",3,4,"good","square","good","match","n","n","1161.2999999997555","1"
"v010001",1,"1995","硕士",1613891896156,2,1,"test",4,4,"bad","square","good","mismatch","m","m","796.3999999992666","1"
"v010001",1,"1995","硕士",1613891898260,2,1,"test",5,4,"bad","triangle","ordinary","mismatch","m","n","744.0999999999185","0"
"v010001",1,"1995","硕士",1613891900314,2,1,"test",6,4,"good","triangle","ordinary","mismatch","m","m","871.4999999993015","1"
"v010001",1,"1995","硕士",1613891902495,2,1,"test",7,4,"ordinary","triangle","ordinary","match","n","n","782.9000000001397","1"
"v010001",1,"1995","硕士",1613891904585,2,1,"test",8,4,"ordinary","triangle","ordinary","match","n","n","529.6999999991385","1"
"v010001",1,"1995","硕士",1613891906422,2,1,"test",9,4,"ordinary","circular","bad","mismatch","m","m","605.4000000003725","1"
"v010001",1,"1995","硕士",1613891908336,2,1,"test",10,4,"bad","circular","bad","match","n","n","848.2000000003609","1"
"v010001",1,"1995","硕士",1613891910493,2,1,"test",11,4,"ordinary","square","good","mismatch","m","m","655.0000000006403","1"
"v010001",1,"1995","硕士",1613891912455,2,1,"test",12,4,"good","square","good","match","n","n","638.8000000006286","1"
"v010001",1,"1995","硕士",1613891914405,2,1,"test",1,5,"good","square","good","match","n","n","517.5","1"
"v010001",1,"1995","硕士",1613891916229,2,1,"test",2,5,"bad","circular","bad","match","n","m","678.2999999995809","0"
"v010001",1,"1995","硕士",1613891918215,2,1,"test",3,5,"good","triangle","ordinary","mismatch","m","n","792.6999999999534","0"
"v010001",1,"1995","硕士",1613891920316,2,1,"test",4,5,"ordinary","triangle","ordinary","match","n","n","749.2000000001863","1"
"v010001",1,"1995","硕士",1613891922372,2,1,"test",5,5,"good","circular","bad","mismatch","m","n","935.7000000000698","0"
"v010001",1,"1995","硕士",1613891924612,2,1,"test",6,5,"ordinary","square","good","mismatch","m","m","769.5999999996275","1"
"v010001",1,"1995","硕士",1613891926689,2,1,"test",7,5,"ordinary","circular","bad","mismatch","m","m","822.7999999999302","1"
"v010001",1,"1995","硕士",1613891928823,2,1,"test",8,5,"bad","circular","bad","match","n","n","981.2999999994645","1"
"v010001",1,"1995","硕士",1613891931113,2,1,"test",9,5,"bad","square","good","mismatch","m","m","616.0999999992782","1"
"v010001",1,"1995","硕士",1613891933035,2,1,"test",10,5,"good","square","good","match","n","n","823.800000000163","1"
"v010001",1,"1995","硕士",1613891935164,2,1,"test",11,5,"bad","triangle","ordinary","mismatch","m","n","611.9999999991851","0"
"v010001",1,"1995","硕士",1613891937082,2,1,"test",12,5,"ordinary","triangle","ordinary","match","n","m","518.2999999998137","0"
