"subj_idx","sex","age","edu","block_id","block_type","trial_id","trial_type_num","label_en","shape_en","valence","match","correctRp","response","rt","acc"
"v010001","male",27,"硕士",1,"test",10,5,"good","square","good","match","n","n","823.800000000163","1"
"v010001","male",27,"硕士",1,"test",11,5,"bad","triangle","ordinary","mismatch","m","n","611.9999999991851","0"
"v010001","male",27,"硕士",1,"test",12,5,"ordinary","triangle","ordinary","match","n","m","518.2999999998137","0"
"v010001","male",27,"硕士",1,"test",1,6,"bad","circular","bad","match","n","n","696.9000000008382","1"
"v010001","male",27,"硕士",1,"test",2,6,"ordinary","triangle","ordinary","match","n","n","685.9000000003725","1"
"v010001","male",27,"硕士",1,"test",3,6,"good","circular","bad","mismatch","m","n","653.7000000007683","0"
"v010001","male",27,"硕士",1,"test",4,6,"good","square","good","match","n","n","573.2000000007683","1"
"v010001","male",27,"硕士",1,"test",5,6,"bad","circular","bad","match","n","n","654.4999999988358","1"
"v010001","male",27,"硕士",1,"test",6,6,"bad","triangle","ordinary","mismatch","m","m","809.7999999989988","1"
"v010001","male",27,"硕士",1,"test",7,6,"bad","square","good","mismatch","m","n","695.3000000012107","0"
"v010001","male",27,"硕士",1,"test",8,6,"ordinary","circular","bad","mismatch","m","n","652.0000000001164","0"
"v010001","male",27,"硕士",1,"test",9,6,"ordinary","square","good","mismatch","m","n","755.5000000011642","0"
"v010001","male",27,"硕士",1,"test",10,6,"good","triangle","ordinary","mismatch","m","m","769.8999999993248","1"
"v010001","male",27,"硕士",1,"test",11,6,"ordinary","triangle","ordinary","match","n","n","682.7999999986496","1"
"v010001","male",27,"硕士",1,"test",12,6,"good","square","good","match","n","n","685.8000000010943","1"
"v010001","male",27,"硕士",2,"test",1,7,"good","square","good","match","n","n","786.7999999999302","1"
"v010001","male",27,"硕士",2,"test",2,7,"ordinary","triangle","ordinary","match","n","n","689.2999999999302","1"
"v010001","male",27,"硕士",2,"test",3,7,"bad","square","good","mismatch","m","m","732","1"
"v010001","male",27,"硕士",2,"test",4,7,"good","square","good","match","n","n","595.4999999994179","1"
"v010001","male",27,"硕士",2,"test",5,7,"good","triangle","ordinary","mismatch","m","m","745.8000000005122","1"
"v010001","male",27,"硕士",2,"test",6,7,"ordinary","triangle","ordinary","match","n","n","798.8000000005122","1"
"v010001","male",27,"硕士",2,"test",7,7,"good","circular","bad","mismatch","m","m","766.1000000006752","1"
"v010001","male",27,"硕士",2,"test",8,7,"bad","circular","bad","match","n","m","696.7000000004191","0"
"v010001","male",27,"硕士",2,"test",9,7,"ordinary","square","good","mismatch","m","m","916.9999999995343","1"
"v010001","male",27,"硕士",2,"test",10,7,"bad","circular","bad","match","n","m","656.6999999994878","0"
"v010001","male",27,"硕士",2,"test",11,7,"ordinary","circular","bad","mismatch","m","m","1041.1000000004424","1"
"v010001","male",27,"硕士",2,"test",12,7,"bad","triangle","ordinary","mismatch","m","m","1108.700000000652","1"
"v010001","male",27,"硕士",2,"test",1,8,"bad","circular","bad","match","n","n","809.9000000001397","1"
"v010001","male",27,"硕士",2,"test",2,8,"bad","triangle","ordinary","mismatch","m","m","817.200000001234","1"
"v010001","male",27,"硕士",2,"test",3,8,"ordinary","circular","bad","mismatch","m","n","807.0999999999767","0"
"v010001","male",27,"硕士",2,"test",4,8,"ordinary","square","good","mismatch","m","n","557.3999999997905","0"
"v010001","male",27,"硕士",2,"test",5,8,"good","square","good","match","n","n","584.6000000000931","1"
"v010001","male",27,"硕士",2,"test",6,8,"good","triangle","ordinary","mismatch","m","m","750.4000000008382","1"
"v010001","male",27,"硕士",2,"test",7,8,"ordinary","triangle","ordinary","match","n","n","930.9999999987194","1"
"v010001","male",27,"硕士",2,"test",8,8,"bad","circular","bad","match","n","n","802.9000000006054","1"
"v010001","male",27,"硕士",2,"test",9,8,"bad","square","good","mismatch","m","m","779.4999999987194","1"
"v010001","male",27,"硕士",2,"test",10,8,"ordinary","triangle","ordinary","match","n","n","622.199999999837","1"
"v010001","male",27,"硕士",2,"test",11,8,"good","square","good","match","n","n","998.1000000006752","1"
"v010001","male",27,"硕士",2,"test",12,8,"good","circular","bad","mismatch","m","n","754.3999999999069","0"
"v010001","male",27,"硕士",2,"test",1,9,"ordinary","triangle","ordinary","match","n","m","736.3999999997905","0"
"v010001","male",27,"硕士",2,"test",2,9,"bad","circular","bad","match","n","n","786.7999999999302","1"
"v010001","male",27,"硕士",2,"test",3,9,"bad","circular","bad","match","n","n","778.3000000000466","1"
"v010001","male",27,"硕士",2,"test",4,9,"good","square","good","match","n","n","808.1000000002095","1"
"v010001","male",27,"硕士",2,"test",5,9,"good","triangle","ordinary","mismatch","m","m","845.2000000015832","1"
"v010001","male",27,"硕士",2,"test",6,9,"bad","triangle","ordinary","mismatch","m","m","947.0000000001164","1"
"v010001","male",27,"硕士",2,"test",7,9,"ordinary","triangle","ordinary","match","n","n","733.6999999989057","1"
"v010001","male",27,"硕士",2,"test",8,9,"good","circular","bad","mismatch","m","m","855.1999999999534","1"
"v010001","male",27,"硕士",2,"test",9,9,"ordinary","square","good","mismatch","m","n","824.8000000002794","0"
"v010001","male",27,"硕士",2,"test",10,9,"bad","square","good","mismatch","m","m","831.0000000001164","1"
"v010001","male",27,"硕士",2,"test",11,9,"ordinary","circular","bad","mismatch","m","n","671.2000000007683","0"
