"subj_idx","match_bad","match_good","match_ordinary","mismatch_bad","mismatch_good","mismatch_ordinary","d_bad","d_good","d_ordinary"
"v010001",775.340425531915,715.516666666667,747.245614035088,793.282608695652,816.730769230769,786.28,1.20529974544055,2.09806471886318,1.80638524311216
"v010003",739.736842105263,559.676470588235,770.428571428571,728.333333333333,748.652173913043,690.421052631579,1.0159367577776,2.05107074903554,1.04337902356702
"v010004",649.16393442623,531.845070422535,670.448275862069,641.939393939394,638.314285714286,634.322580645161,2.40758651964074,4.11491640626559,1.98894443559082
"v010005",812.944444444444,599.845070422535,777.72,779.395833333333,695.174603174603,733.844444444444,0.831800434806252,3.65040948995048,1.03873794292513
"v010006",799,730.472727272727,755.102040816327,835.891891891892,849.1,858.452380952381,0.583465391962851,1.33418033883509,1.40469172943718
"v010007",754.8,610.898550724638,786.25641025641,745.616666666667,747.444444444444,717.676923076923,1.52263548756249,3.01321596166685,1.65060080997512
"v010009",688.942307692308,613.223880597015,672.606557377049,738.049180327869,721.37037037037,741.254545454545,1.69660099692875,2.22350114591462,2.00673916487465
"v010011",762.490909090909,692.328358208955,809.106382978723,782.322033898305,778.28,817.12962962963,2.44488660391225,2.99707732020417,1.4468911006788
"v010015",691.183333333333,576.628571428571,715.169230769231,727.603448275862,706.234375,686.852459016393,2.17373180918872,3.20412447077196,2.57089831423943
"v010017",681.90625,687.09375,762.938775510204,810.46,778.80487804878,798.892857142857,2.30104238873793,2.17480482155381,1.66406922759085
"v010021",726.542372881356,599.869565217391,736.169230769231,790.938775510204,790.291666666667,790.754385964912,1.64302945972282,2.48064461473011,2.55926774023242
"v010023",708.169230769231,726.612903225806,802.204545454545,758.186440677966,803.333333333333,791.957446808511,2.61803083157301,1.91909999757662,0.936984218055986
"v010025",706.375,610.015625,683.440677966102,671.98275862069,695.6,689.714285714286,1.00134441905603,1.84954456647954,1.67795960047
"v010027",756.135135135135,658.734375,683.6,737.326530612245,765.509090909091,743.977272727273,0.855834109197249,2.33504948941739,1.55416348617805
"v010029",767.068965517241,626.69014084507,753.596153846154,755.777777777778,747.185185185185,758.047619047619,2.30827242476524,3.31824229458909,2.20135861751152
"v010031",642.491803278689,591.736111111111,626.741935483871,654.492753623188,630.909090909091,635.211267605634,2.75625678866234,3.93277568972412,3.28573548928679
"v010033",631.042553191489,579.707692307692,629.452380952381,694.72972972973,673.904761904762,646.977272727273,0.427652130910077,1.55089003175235,0.583799625033768
"v010035",712.72131147541,625,707.35,729.313725490196,703.175438596491,722.857142857143,1.6652592824592,2.72672362655547,0.697401631034364
"v010037",670.338709677419,681.967741935484,658.28125,745.315789473684,760.421052631579,730.12962962963,2.14286127690361,2.26056779977929,2.23076937160574
